assignment_day,total_submissions,late_count,avg_hours_after_deadline,median_hours_after_deadline,min_hours_after_deadline,max_hours_after_deadline,on_time_count,late_percentage
day01,29,29,145.04850574712643,94.31333333333333,64.46527777777777,444.5036111111111,0,100.0
day02,30,30,146.5737037037037,137.78152777777777,46.2425,274.5936111111111,0,100.0
day03,22,22,235.36601010101012,140.67097222222222,83.17361111111111,979.2769444444444,0,100.0
day04,29,29,202.57310344827584,138.20416666666668,137.63777777777779,811.2769444444444,0,100.0
day05,28,20,132.72184523809523,161.42069444444445,-5.6675,849.8836111111111,8,71.43
day06,27,25,255.46152263374486,264.11611111111114,-6.079722222222222,681.6472222222222,2,92.59
day08,23,9,-63.528140096618365,-7.508055555555556,-346.75111111111113,107.54027777777777,14,39.13
final_project,14,0,-374.39261904761906,-363.7234722222222,-699.4652777777778,-180.82472222222222,14,0.0
